x,y
1.05,2.727
1.558,2.07
1.55,2.854
1.206,2.274
1.658,2.406
1.869,2.003
1.577,2.556
1.384,2.754
1.275,2.142
1.163,2.289
1.129,3.669
1.581,3.363
1.634,3.676
1.334,3.16
1.549,3.576
1.944,3.398
1.826,3.753
1.486,3.89
1.906,3.663
1.623,3.557
2.118,1.582
2.924,1.071
2.113,1.418
2.817,1.293
2.979,1.062
2.053,1.2
2.71,1.416
2.919,1.358
2.619,1.425
2.887,1.933
2.956,2.477
2.707,2.652
2.419,2.877
2.844,2.682
2.596,2.554
2.631,2.132
2.645,2.958
2.746,2.961
2.845,2.122
2.344,2.934
2.589,3.037
2.685,3.318
2.08,3.271
2.957,3.722
2.019,3.336
2.835,3.944
2.918,3.482
2.353,3.562
2.901,3.942
2.344,3.117
2.716,4.041
2.618,4.429
2.285,4.613
2.319,4.702
2.833,4.186
2.465,4.051
2.385,4.543
2.293,4.932
2.954,4.697
2.139,4.912
3.417,1.893
3.123,1.107
3.368,1.453
3.093,1.019
3.675,1.951
3.735,1.107
3.439,1.462
3.441,1.606
3.05,1.993
3.901,1.17
3.618,2.245
3.987,2.061
3.425,2.735
3.087,2.666
3.814,2.029
3.843,2.619
3.237,2.313
3.264,2.715
3.845,2.254
3.423,2.434
3.352,3.993
3.833,3.129
3.151,3.795
3.848,3.253
3.592,3.278
3.441,3.208
3.015,3.612
3.181,3.229
3.572,3.735
3.837,3.259
3.809,4.772
3.531,4.796
3.573,4.73
3.795,4.32
3.782,4.335
3.551,4.552
3.553,4.757
3.201,4.128
3.656,4.625
3.536,4.469
3.275,5.203
3.214,5.708
3.19,5.977
3.004,5.761
3.281,5.377
3.026,5.998
3.39,5.273
3.416,5.332
3.911,5.044
3.731,5.383
3.14,8.005
3.241,8.896
3.903,8.158
3.612,8.091
3.162,8.891
3.381,8.306
3.357,8.547
3.271,8.089
3.845,8.634
3.636,8.27
4.651,1.604
4.595,1.654
4.455,1.478
4.358,1.676
4.101,1.833
4.195,1.555
4.035,1.453
4.683,1.034
4.184,1.521
4.877,1.969
4.714,2.09
4.635,2.954
4.295,2.839
4.157,2.892
4.266,2.765
4.547,2.209
4.256,2.137
4.721,2.685
4.91,2.423
4.533,2.801
4.345,3.003
4.483,3.43
4.262,3.861
4.209,3.793
4.697,3.126
4.498,3.757
4.123,3.058
4.398,3.793
4.651,3.455
4.567,3.72
4.575,4.582
4.084,4.087
4.13,4.653
4.092,4.402
4.255,4.4
4.873,4.9
4.363,4.346
4.314,4.373
4.572,4.604
4.332,4.235
4.506,5.955
4.428,5.313
4.698,5.291
4.31,5.811
4.246,5.046
4.883,5.541
4.526,5.824
4.924,5.639
4.033,5.824
4.337,5.771
4.44,6.703
4.204,6.933
4.337,6.213
4.765,6.654
4.309,6.715
4.648,6.854
4.594,6.992
4.889,6.43
4.822,6.019
4.388,6.359
4.465,7.634
4.706,7.418
4.568,7.864
4.229,7.914
4.669,7.36
4.004,7.659
4.566,7.976
4.956,7.338
4.344,7.527
4.046,7.56
4.635,8.784
4.971,8.38
4.546,8.707
4.915,8.33
4.286,8.54
4.259,8.755
4.328,8.587
4.127,8.724
4.066,8.895
4.743,8.878
5.227,1.404
5.157,1.677
5.682,1.276
5.99,1.613
5.358,1.884
5.311,1.404
5.995,1.003
5.21,1.795
5.999,1.841
5.181,1.222
5.394,2.492
5.279,2.489
5.23,2.201
5.347,2.347
5.917,2.609
5.458,2.025
5.473,2.534
5.625,2.32
5.58,2.609
5.643,2.099
5.269,3.997
5.868,3.575
5.847,3.807
5.55,3.501
5.688,3.517
5.205,3.497
5.827,3.657
5.862,3.267
5.785,3.879
5.419,3.63
5.004,4.552
5.459,4.251
5.235,4.531
5.627,4.382
5.017,4.763
5.204,4.683
5.047,4.049
5.937,4.633
5.299,4.385
5.686,4.976
5.583,5.993
5.914,5.069
5.22,5.718
5.105,5.945
5.217,5.058
5.788,5.903
5.444,5.625
5.414,5.629
5.916,5.904
5.001,5.401
5.803,6.394
5.805,6.805
5.203,6.292
5.537,6.638
5.041,6.378
5.867,6.955
5.515,6.043
5.645,6.391
5.448,6.975
5.396,6.276
5.439,7.551
5.363,7.266
5.414,7.724
5.346,7.244
5.863,7.626
5.683,7.468
5.282,7.17
5.16,7.865
5.606,7.539
5.229,7.349
5.707,8.109
5.253,8.835
5.113,8.177
5.886,8.403
5.283,8.5
5.872,8.068
5.154,8.604
5.988,8.781
5.556,8.381
5.86,8.382
6.834,2.188
6.913,2.582
6.871,2.2
6.569,2.186
6.978,2.383
6.161,2.141
6.847,2.845
6.845,2.116
6.998,2.669
6.687,2.284
6.611,3.393
6.618,3.917
6.195,3.414
6.991,3.779
6.987,3.357
6.377,3.695
6.557,3.972
6.343,3.704
6.194,3.465
6.114,3.472
6.994,4.115
6.08,4.211
6.227,4.214
6.347,4.216
6.086,4.514
6.55,4.317
6.716,4.319
6.05,4.783
6.028,4.212
6.292,4.113
6.322,5.59
6.306,5.544
6.063,5.533
6.04,5.357
6.706,5.229
6.039,5.31
6.211,5.402
6.325,5.589
6.583,5.877
6.161,5.486
6.499,6.225
6.89,6.4
6.332,6.105
6.342,6.618
6.536,6.707
6.652,6.493
6.663,6.071
6.949,6.814
6.357,6.126
6.107,6.011
6.755,7.215
6.182,7.204
6.917,7.623
6.576,7.302
6.941,7.212
6.125,7.305
6.704,7.857
6.028,7.377
6.683,7.454
6.222,7.687
7.702,2.687
7.249,2.442
7.519,2.506
7.51,2.288
7.447,2.052
7.361,2.159
7.211,2.038
7.443,2.872
7.773,2.057
7.329,2.893
7.631,3.359
7.883,3.473
7.274,3.753
7.625,3.321
7.533,3.475
7.399,3.171
7.125,3.371
7.989,3.549
7.226,3.954
7.922,3.915
7.705,4.269
7.674,4.979
7.461,4.39
7.384,4.117
7.969,4.344
7.295,4.373
7.38,4.477
7.032,4.793
7.113,4.361
7.236,4.612
7.762,5.56
7.2,5.682
7.117,5.119
7.766,5.324
7.447,5.605
7.388,5.489
7.216,5.881
7.995,5.187
7.538,5.455
7.887,5.931
7.479,6.371
7.089,6.985
7.9,6.859
7.708,6.958
7.561,6.877
7.192,6.885
7.791,6.626
7.362,6.017
7.362,6.77
7.397,6.598
8.323,3.596
8.584,3.995
8.373,3.719
8.82,3.546
8.381,3.652
8.214,3.281
8.463,3.38
8.99,3.537
8.911,3.127
8.141,3.639
8.285,4.83
8.798,4.291
8.649,4.433
8.876,4.438
8.916,4.773
8.345,4.266
8.258,4.016
8.519,4.213
8.74,4.875
8.682,4.164
